Participant,Difficulty,Technique,Time,Perceived_Efficiency
s16,Level2,C,2.03,efficient
s16,Level3,C,8.62,efficient
s16,Level4,C,4.27,efficient
s17,Level1,A,0.28,efficient
s17,Level2,A,0.3,efficient
s17,Level3,A,0.21,efficient
s17,Level4,A,0.88,efficient
s17,Level1,B,0.08,efficient
s17,Level2,B,0.5,efficient
s17,Level3,B,0.22,efficient
s17,Level4,B,0.29,efficient
s17,Level1,C,0.33,efficient
s17,Level2,C,0.34,efficient
s17,Level3,C,0.57,neutral
s17,Level4,C,1.1,efficient
s18,Level1,A,0.29,neutral
s18,Level2,A,0.94,efficient
s18,Level3,A,0.69,efficient
s18,Level4,A,2.92,somewhat efficient
s18,Level1,B,0.4,efficient
s18,Level2,B,0.9,somewhat efficient
s18,Level3,B,1.96,efficient
s18,Level4,B,2.72,efficient
s18,Level1,C,0.46,somewhat efficient
s18,Level2,C,0.46,neutral
s18,Level3,C,0.55,somewhat efficient
s18,Level4,C,3.91,efficient
s19,Level1,A,0.12,efficient
s19,Level2,A,0.39,efficient
s19,Level3,A,1.25,efficient
s19,Level4,A,0.74,somewhat efficient
s19,Level1,B,0.18,neutral
s19,Level2,B,0.11,efficient
s19,Level3,B,0.88,efficient
s19,Level4,B,1.68,efficient
s19,Level1,C,0.09,efficient
s19,Level2,C,0.22,somewhat efficient
s19,Level3,C,0.27,somewhat efficient
s19,Level4,C,1.14,efficient
s20,Level1,A,0.61,efficient
s20,Level2,A,1.02,somewhat efficient
s20,Level3,A,0.15,somewhat efficient
s20,Level4,A,1,somewhat efficient
s20,Level1,B,0.1,efficient
s20,Level2,B,0.35,efficient
s20,Level3,B,0.77,somewhat efficient
s20,Level4,B,1.06,efficient
s20,Level1,C,0.1,inefficient
s20,Level2,C,0.27,somewhat efficient
s20,Level3,C,0.6,efficient
s20,Level4,C,2.49,efficient
s21,Level1,A,0.3,neutral
s21,Level2,A,0.65,efficient
s21,Level3,A,0.56,somewhat efficient
s21,Level4,A,3.35,efficient
s21,Level1,B,0.15,efficient
s21,Level2,B,1.5,efficient
s21,Level3,B,1.97,efficient
s21,Level4,B,14.17,efficient
s21,Level1,C,0.75,neutral
s21,Level2,C,1.61,efficient
s21,Level3,C,1.68,somewhat efficient
s21,Level4,C,12.74,efficient
s22,Level1,A,0.14,efficient
s22,Level2,A,0.54,efficient
s22,Level3,A,0.36,somewhat efficient
s22,Level4,A,0.56,neutral
s22,Level1,B,0.16,neutral
s22,Level2,B,0.38,somewhat efficient
s22,Level3,B,1.45,neutral
s22,Level4,B,1.03,somewhat efficient
s22,Level1,C,0.58,efficient
s22,Level2,C,1.39,efficient
s22,Level3,C,0.59,somewhat efficient
s22,Level4,C,0.5,efficient
s23,Level1,A,0.05,efficient
s23,Level2,A,0.43,somewhat efficient
s23,Level3,A,1.08,somewhat efficient
s23,Level4,A,0.41,inefficient
s23,Level1,B,0.17,efficient
s23,Level2,B,0.44,efficient
s23,Level3,B,0.25,somewhat efficient
s23,Level4,B,1.66,neutral
s23,Level1,C,0.25,somewhat efficient
s23,Level2,C,0.09,somewhat efficient
s23,Level3,C,1.07,somewhat efficient
s23,Level4,C,2.3,somewhat inefficient
s24,Level1,A,0.82,somewhat efficient
s24,Level2,A,0.3,neutral
s24,Level3,A,0.61,efficient
s24,Level4,A,1.01,neutral
s24,Level1,B,0.16,somewhat efficient
s24,Level2,B,0.97,inefficient
s24,Level3,B,0.17,neutral
s24,Level4,B,1.54,neutral
s24,Level1,C,0.03,efficient
s24,Level2,C,1.9,somewhat efficient
s24,Level3,C,0.25,somewhat efficient
s24,Level4,C,0.49,neutral
